tag,inital
407ES0PIC064PV,1.22669
407ES0PIC064SP,0.6
407ES0PIC064TV,0.0
407ES0PIC064CAS,0.0
407ES0PIC064KC,4
407ES0PIC064TI,0.5
407ES0PIC064OPM,0
407ES0PIC064OPL,0.0
407ES0PIC064OPH,100.0
407ES0PIC075OP,0
407ES0PIC075PV,0.986708
407ES0PIC075SP,1.15
407ES0PIC075TV,0.0
407ES0PIC075CAS,0.0
407ES0PIC075KC,4
407ES0PIC075TI,0.5
407ES0PIC075OPM,0
407ES0PIC075OPL,0.0
407ES0PIC075OPH,100.0
0FIC002BOP,38.2769
0FIC002BPV,10
0FIC002BSP,68.9873
0FIC002BTV,0.0
0FIC002BCAS,0.0
0FIC002BKC,2
0FIC002BTI,0.5
0FIC002BOPM,36.2783
0FIC002BOPL,0.0
0FIC002BOPH,100.0
407ESP012A,1
407ESP012B,2
0BPZIC035,2
0BPZIC026,2
407ES0TI076,59.4966
407ES0TI050,43.6926
407ES0TI045,44.8911
407ES0LI026B,0
407ES0PI003,42.5868
407ES0TI132,47.2211
407ES0FI016B,10.2739
407ES0AI004A,961.871
407ES0AI004B,0.887597
407ES0AI004C,98.4091
407ES0AI004D,0.612102
407ES0AI004E,5.57618
407ES0AI004F,79.6313
407ES0AI004G,0
407ES0AI004H,0
407ES0PDI246,0.301678
407ES0FI022A,41.0957
407ES0BV006,2
0UV003,1
407ES0EV049,1
0BPZIC002,2
407ES0PDI051A,0.035
407ES0PDI051B,0.5
407ES0AI005A,166.669
407ES0AI005B,10.5126
407ES0AI005C,0.010304
407ES0AI005D,98.4104
407ES0AI005E,0.898443
407ES0AI005F,0
407ES0AI005G,0
407ES0AI005H,1
407ES0FI110,15.1341
407ES0TI059,40.8157
407ES0FI109,10523.9
407ES0TI058,40.3951
407ES0PI010,6.97663
407ES0FI004,17.574
407ES0LI010,49.7912
407ES0LI009B,47.5138
407ES0PI177,1.38676
407ES0TI133,59.4887
407ES0TI185,58.0004
407ES0TI134,43.1532
407ES0PI053,6.88675
407ES0TI135,115.68
407ES0PI178,6.48675
407ES0FI011,0
407ES0TI136,131.083
407ES0PI179,1.78676
407ES0LI013,62.6017
407ES0PDI004,0.21244
407ES0TI062,129.739
407ES0TI063,129.739
407ES0TI010,131.065
407ES0FI015,5023.52
407ES0TI219,187.432
407ES0PI065,1.22669
407ES0PI070,3.48675
407ES0EV038,1
407ES0BPZIC038,2
407-P011A,1
407-P011B,2
407ES0FI158,0
407ES0FI037,3574.41
407ES0LI023,54.4644
407ES0FI020,299.924
407ES0TI035,41.8337
407ES0FI043A,3.61132
407ES0FI008,0
407ES0LI014,38.7239
407ES0LI080,63.1539
407ESTK407003H,2.99876
407ESTK407003V,85.7646
407ES0LI127,59.9639
407ED0KV018A,2
407ED0KV018B,2
407ED0KV018C,2
407ED0KV017A,2
407ED0KV017B,2
407ED0KV017C,2
407ED0KV031A,1
407ED0KV031B,1
407ED0KV031C,2
407ED0KV028A,2
407ED0KV028B,2
407ED0KV028C,1
407ED0KV029A,2
407ED0KV029B,2
407ED0KV029C,2
407ED0KV034A,2
407ED0KV034B,2
407ED0KV034C,2
407ED0KV027A,1
407ED0KV027B,1
407ED0KV027C,2
407ED0KV019A,2
407ED0KV019B,2
407ED0FIC031OP,100
407ED0FIC031PV,0.0156674
407ED0FIC031SP,15000
407ED0FIC031TV,0.0
407ED0FIC031CAS,0.0
407ED0FIC031KC,10
407ED0FIC031TI,0.01
407ED0FIC031OPM,100
407ED0FIC031OPL,0.0
407ED0FIC031OPH,100.0
407ED0PIC283AOP,50
407ED0PIC283APV,33.4756
407ED0PIC283ASP,33.4756
407ED0PIC283ATV,0.0
407ED0PIC283ACAS,0.0
407ED0PIC283AKC,15
407ED0PIC283ATI,0.05
407ED0PIC283AOPM,50
407ED0PIC283AOPL,0.0
407ED0PIC283AOPH,100.0
407ED0PIC283BOP,50
407ED0PIC283BPV,33.2834
